Year,Argentinian-Liga-A,Australian-NBL,Austrian-A-Bundesliga,Balkan-BIBL,Balkan-BIL,Belarusian-BPL,Belgium-Scooore-League,Bosnian-BiH-Liga,Brazilian-NBB,British-BBL,Bulgarian-NBL,Canadian-NBL,Chinese-CBA,Croatian-A-1-Liga,Czech-NBL,Danish-Basketligaen,Estonian-Latvian-Basketball-League,Eurocup,Euroleague,FIBA-Europe-Cup,Finnish-Korisliiga,French-Jeep-Elite,Georgian-Super-Liga,German-BBL,Greek-HEBA-A1,Hungarian-NBIA,Israeli-BSL,Italian-Lega-Basket-Serie-A,Japanese-BLeague,Kosovo-FBK,Lebanese-Division-A,Lithuanian-LKL,Luxembourg-Total-League,Macedonian-Superleague,Mexican-LNBP,NBA,Netherlands-DBL,New-Zealand-NBL,Norwegian-BLNO,Polish-TBL,Romanian-Divizia-A,Serbian-KLS,Slovakian-Extraliga,Slovenian-SKL,South-Korean-KBL,Spanish-ACB,Swedish-Basketligan,Swiss-LNA,Turkish-BSL,Ukrainian-Superleague,Total
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,,,,,,,,,,,,,,,342
2001,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,478
2002,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,520
2003,,,,,,,,,,,,,,,,,,169,170,,,,,,,,,,,,,,,,,364,,,,,,,,,,,,,,,703
2004,,93,,,,,,,,,,,,,,,,245,167,,,,,93,,,,112,,,,,,,,335,,,,,,,,,,125,,,,,1170
2005,,107,,,,,,,,,,,,,,,,283,163,,,121,,107,,,,114,,,,,,,,362,,,,,,,,,,119,,,,,1376
2006,,99,,,,,,,,,,,,,,,,161,159,,,104,,99,,,,111,,,,,,,,336,,,,,,,,,,126,,,,,1195
2007,,111,,,,,,,,,,,,,,,,160,161,,,110,,111,,,,108,,,,,,,,333,,,,,,,,,,133,,,,,1227
2008,,101,,,,,,,,,,,,,,,,348,165,,,102,,101,,,,112,,,,,,,,362,,,,,,,,,,134,,,,,1425
2009,,114,,,,,,,,,,,,,,,,214,170,,,102,,114,,,,105,,,,,,,,352,,,,,,,,,,125,,,,,1296
2010,,124,,,,,,,,,,,,,,,,225,165,,,98,,124,,,,93,,,,,,,,348,,,,,,,,,,126,,,,,1303
2011,,111,,,,,,,,,,,,,,,,219,173,,,93,,111,,,,106,,,,,,,,339,,,,,,,,,,130,,,,,1282
2012,102,119,67,73,,44,58,80,108,67,53,43,135,90,94,63,,215,156,,66,105,,119,82,81,64,106,,,,81,,49,66,376,56,54,56,94,78,104,48,80,58,134,63,51,110,75,3823
2013,103,122,65,60,,51,52,76,113,70,63,46,127,82,85,56,,211,182,,78,98,74,122,84,74,73,96,,,58,77,53,49,76,367,69,58,51,81,98,112,43,77,65,133,76,60,93,79,4038
2014,105,113,73,50,,55,66,78,110,70,52,50,122,82,74,53,,359,168,,73,104,53,113,92,76,72,96,,,53,66,73,48,62,361,66,49,48,66,70,95,53,75,64,125,60,39,100,69,4001
2015,126,114,67,51,,68,79,69,105,71,48,53,139,78,79,51,,289,171,,57,116,45,114,87,75,69,104,,,40,68,83,51,65,346,57,47,40,93,65,96,50,70,66,137,68,43,91,64,3965
2016,125,115,59,49,,58,77,71,94,68,57,51,146,93,77,44,,294,171,341,54,116,42,115,80,89,73,97,,,43,60,79,43,58,350,48,39,68,110,63,107,54,74,49,136,68,57,95,,4257
2017,118,121,56,74,,61,69,63,104,77,58,62,134,90,73,50,,146,119,275,65,114,48,121,72,85,70,99,124,41,46,64,72,58,48,440,50,44,55,109,52,110,63,83,50,128,54,56,92,54,4317
2018,142,130,62,41,,64,76,72,104,75,58,68,160,89,95,44,,189,129,269,75,138,71,130,110,98,89,120,135,34,60,75,79,72,67,430,63,53,58,128,85,107,65,100,64,148,55,79,109,56,4820
2019,159,132,77,49,,67,75,77,98,87,65,87,166,90,94,68,107,180,132,261,75,143,73,132,108,101,95,116,120,58,62,79,89,74,92,435,74,63,67,131,88,135,68,79,60,145,76,71,102,62,5144
2020,208,196,98,,21,126,98,117,175,83,99,87,297,125,131,107,164,229,237,242,148,188,89,196,155,139,146,170,238,85,62,114,114,90,231,278,88,74,112,166,161,156,93,90,147,224,116,119,185,102,7116